SO     NE     MM     AD     CE     CA     DE     DA     OD
 0  0.130  5.620  5.814  5.773  5.410  6.146  5.768  5.753
 0  0.140 11.779 12.529 12.372 12.019 12.943 12.587 12.575
 0  0.150 19.991 22.292 21.631 22.036 22.329 22.742 22.730
 0  0.160 24.171 28.009 26.762 27.902 27.450 28.638 28.635
 0  0.170 27.464 33.408 31.321 33.435 32.064 34.219 34.217
 0  0.180 29.682 38.195 35.052 38.318 35.898 39.142 39.142
 1  0.180 23.896 28.559 26.802 28.434 27.441 29.127 29.136
 0  0.190 30.706 41.709 37.483 41.832 38.374 42.608 42.603
 1  0.190 26.756 34.030 31.170 34.036 31.905 34.765 34.763
